id,ballkid,captain,count,duration
619,564,640,1,4:00:00
702,553,596,2,4:00:00
691,558,579,2,1:52:47.237900
675,554,591,2,7:00:00
681,623,594,4,7:29:05.462648
648,517,591,2,5:13:15.085631
693,523,585,2,6:11:54.227876
626,520,639,2,7:00:00
700,566,594,2,4:00:00
650,563,592,2,3:27:07.449812
696,514,596,3,8:00:00
646,612,581,2,6:11:17.433702
670,621,592,3,6:00:00
698,533,592,1,4:00:00
610,512,574,1,3:29:24.271826
1857,580,578,1,1:06:40.706641
609,634,640,1,4:00:00
678,608,593,2,4:00:00
683,625,585,2,5:53:00.964433
638,640,574,1,4:00:00
654,572,579,2,7:01:06.646516
627,553,639,1,3:00:00
676,629,591,2,6:00:00
659,588,579,1,4:00:00
684,632,599,3,5:04:54.148749
705,575,597,2,3:53:11.899328
655,527,579,1,4:00:00
651,584,591,2,8:24:36.305961
608,634,574,2,5:00:00
701,580,596,2,5:00:00
690,637,596,2,4:51:20.856193
672,606,640,1,4:00:00
660,552,590,5,9:09:27.720205
634,511,582,1,4:00:00
617,541,640,2,3:00:00
653,624,579,1,4:00:00
630,631,639,1,2:00:00
662,568,590,2,4:00:00
697,533,582,1,4:00:00
645,618,581,3,5:13:29.580866
635,511,592,1,4:00:00
704,571,596,1,3:00:00
614,515,574,4,10:17:34.128515
695,565,640,1,3:29:29.040360
669,621,582,1,4:00:00
607,613,591,2,7:00:00
611,512,640,1,3:29:24.271826
674,513,591,3,7:00:00
649,563,582,2,7:00:00
657,622,579,2,4:25:41.832608
640,565,574,1,3:29:29.040360
673,532,591,3,6:56:56.114985
663,556,590,3,5:02:53.091720
641,574,640,1,4:00:00
686,614,599,1,3:00:00
637,620,592,4,8:27:07.449812
682,625,599,1,4:00:00
652,545,579,1,3:00:00
629,596,639,2,3:51:20.856193
622,549,594,2,5:17:39.183728
625,542,639,1,3:00:00
680,623,593,2,4:00:00
679,608,594,3,6:03:23.635537
664,516,590,1,3:00:00
708,534,597,1,3:43:33.784954
685,632,585,2,4:04:54.148749
615,515,640,1,4:00:00
1856,632,578,1,2:00:00
703,520,596,2,6:00:00
699,566,593,1,2:00:00
694,542,596,1,3:00:00
636,620,582,3,5:21:53.543827
665,615,590,2,5:12:12.162374
706,628,597,1,3:43:33.784954
628,571,639,1,3:00:00
707,605,597,3,7:42:01.518960
666,583,590,2,5:00:00
612,536,574,1,4:00:00
647,518,581,1,3:10:10.787186
687,614,585,1,3:00:00
689,557,585,1,4:00:00
644,630,581,1,3:10:10.787186
677,631,596,1,2:00:00
616,541,574,1,2:00:00
668,522,590,1,3:00:00
656,525,579,1,4:00:00
621,549,593,2,5:00:00
618,564,574,1,4:00:00
633,639,596,2,3:51:20.856193
658,610,579,1,3:43:18.526559
620,636,581,3,5:35:32.377294
606,611,581,1,3:10:10.787186
667,627,590,1,3:00:00
671,550,591,2,6:17:39.183728
661,626,590,2,5:00:00
631,637,639,3,11:00:00
632,580,639,1,3:00:00
613,536,640,1,4:00:00
692,523,599,1,3:00:00
688,557,599,3,6:00:00
711,607,597,2,6:43:33.784954
757,608,579,1,0:14:26.039289
727,600,579,2,1:53:10.300320
779,594,592,2,4:19:18.393635
734,534,579,2,2:18:24.015956
714,599,585,7,20:14:49.465115
809,553,579,1,0:03:24.627333
767,586,592,1,2:22:42.029172
750,636,591,2,1:25:21.590108
726,533,581,1,1:13:21.899078
790,622,574,2,8:05:11.444402
740,578,594,1,2:01:44.487612
736,636,579,3,2:22:21.786672
769,554,594,1,0:19:18.393635
806,575,599,2,1:41:03.591647
805,536,599,4,7:03:13.418452
735,603,579,1,1:53:35.569231
763,579,581,2,3:26:48.479124
755,608,639,1,1:05:57.435032
752,636,574,3,2:59:07.397813
759,591,579,1,0:25:41.832608
758,581,579,2,3:26:48.479124
754,608,591,1,1:05:57.435032
718,511,579,1,0:29:41.173574
786,520,599,4,5:49:05.338832
777,636,594,2,3:03:39.498962
716,585,599,7,20:14:49.465115
749,628,579,1,0:10:23.759270
808,553,592,6,11:50:07.336477
795,527,585,1,3:11:24.588681
745,593,594,1,4:00:00
748,594,593,1,4:00:00
776,558,594,1,0:19:18.393635
787,622,591,1,3:10:48.887424
789,622,639,3,5:10:48.973375
780,594,579,2,1:00:06.149404
803,527,599,2,5:28:23.357386
753,608,581,2,2:03:26.934275
743,617,594,2,6:00:00
728,628,591,2,4:03:59.328501
797,536,585,2,4:06:01.431566
762,618,579,1,0:14:17.863403
783,520,592,2,2:49:49.478984
784,520,579,1,0:03:24.627333
715,578,585,2,8:00:00
722,517,639,1,1:13:15.085631
746,602,594,1,2:00:52.180265
739,515,594,1,2:01:29.191908
1858,519,578,1,1:06:40.706641
793,629,585,1,3:11:24.637608
732,615,579,1,1:53:35.569231
766,579,574,1,0:25:41.832608
737,557,579,1,1:53:35.569231
760,639,579,1,0:25:41.832608
773,634,594,2,1:46:29.393090
721,517,581,2,3:13:15.085631
747,618,594,1,2:03:23.635537
778,579,594,2,1:00:06.149404
810,635,582,1,4:00:00
717,578,599,1,4:00:00
709,524,597,5,10:15:37.167391
765,579,639,1,0:25:41.832608
781,613,592,1,2:22:42.029172
794,572,585,2,5:29:03.821336
782,613,579,1,0:03:24.627333
792,635,585,4,12:57:10.281387
802,572,599,2,5:29:03.871194
712,544,597,2,4:43:33.784954
741,573,594,1,3:00:00
713,546,597,1,3:43:33.784954
796,605,585,1,3:11:24.614105
623,586,579,2,3:47:23.889155
774,626,594,2,1:15:59.915706
642,551,581,2,3:32:04.331013
771,520,594,3,5:36:57.577363
733,575,579,2,2:53:21.307671
751,636,639,1,0:25:21.590108
719,632,579,1,1:39:58.237140
788,622,581,1,3:10:48.832873
723,533,591,1,1:13:21.899078
761,574,579,1,0:25:41.832608
720,517,574,1,1:13:15.085631
791,620,585,2,4:09:12.679669
772,592,594,2,4:19:18.393635
799,629,599,1,3:11:24.708975
770,553,594,2,4:19:18.393635
744,563,594,1,1:00:00
764,579,591,1,0:25:41.832608
768,586,594,1,0:19:18.393635
785,520,585,3,3:32:06.570127
729,628,574,3,5:01:49.551356
731,628,639,2,3:03:59.328501
710,609,597,1,3:43:33.784954
738,580,594,2,6:00:41.875439
807,636,592,1,0:03:39.498962
742,521,594,1,4:00:00
775,613,594,2,3:19:18.393635
801,620,599,5,8:31:06.294863
724,533,574,1,1:13:21.899078
725,533,639,1,1:13:21.899078
730,628,581,1,2:03:59.328501
835,574,581,7,12:34:45.692891
906,631,599,1,2:00:00
866,591,589,2,3:33:58.261109
825,563,593,2,2:00:00
822,519,582,1,4:00:00
849,600,581,1,1:43:20.365161
816,554,579,1,0:03:24.627333
851,581,639,1,3:10:48.832873
874,589,591,2,3:33:58.261109
884,617,592,2,5:43:45.273222
856,607,594,1,3:00:00
862,549,579,1,3:01:06.646516
901,558,574,3,5:00:00
865,518,589,2,4:00:00
826,521,593,2,5:00:00
846,633,592,1,4:00:00
897,562,574,2,4:57:56.759278
830,591,574,4,5:32:42.431251
823,519,592,1,4:00:00
844,633,582,1,4:00:00
857,588,594,1,3:00:00
875,556,587,6,14:02:53.091720
859,611,594,2,4:00:00
821,626,592,1,2:22:42.029172
827,618,591,1,1:05:49.348988
902,627,574,1,2:57:56.759278
877,517,579,1,2:00:00
845,582,592,1,4:00:00
838,639,591,1,3:10:48.887424
837,600,591,1,1:43:20.419712
868,613,589,1,3:00:00
858,519,594,1,3:00:00
804,605,599,1,3:11:24.614105
908,521,599,3,5:57:11.860247
815,534,591,7,9:36:56.233861
889,541,592,2,5:00:00
854,605,594,2,3:27:10.999455
891,629,594,1,3:00:00
829,618,574,1,1:05:49.498340
869,630,589,1,3:00:00
814,534,574,6,10:35:40.703564
861,549,581,1,3:01:06.646516
819,626,579,2,4:03:24.627333
900,524,574,2,5:57:56.759278
812,534,581,4,4:40:00.118876
820,579,592,1,0:03:24.627333
903,574,582,3,7:19:50.303105
860,538,594,1,3:00:00
880,533,599,1,2:00:00
834,574,591,4,5:32:42.431251
892,528,594,2,4:00:00
896,582,574,3,7:19:50.303105
907,583,599,1,2:00:00
894,614,574,2,5:57:56.759278
885,628,592,2,6:34:36.788709
828,618,639,1,1:05:49.461486
800,635,599,2,7:57:10.352754
836,574,639,1,3:10:48.999922
886,640,592,1,2:43:45.273222
841,591,639,1,3:10:48.887424
905,621,585,1,2:00:00
839,581,591,3,4:32:42.376700
882,523,592,1,2:43:45.273222
888,527,592,2,6:43:45.273222
899,577,574,2,3:57:56.759278
813,534,639,1,1:18:06.575049
831,600,574,1,1:43:20.479937
833,639,574,1,3:10:48.999922
643,561,581,1,3:00:00
893,615,594,1,3:00:00
879,544,587,2,6:00:00
890,592,640,1,2:43:45.273222
824,617,593,1,4:00:00
840,591,581,3,4:32:42.376700
864,635,579,1,3:01:06.646516
883,578,592,2,5:43:45.273222
818,634,579,2,3:04:31.273849
842,634,592,3,6:19:31.056028
853,622,599,2,2:57:11.915519
798,575,585,2,3:19:09.976453
872,557,589,2,4:50:41.911833
873,525,589,2,4:50:41.911833
881,547,592,2,2:44:03.130715
870,625,589,2,7:00:00
843,592,582,1,4:00:00
876,556,596,4,7:00:00
832,581,574,7,12:34:45.692891
848,558,592,2,6:22:42.029172
895,632,574,1,2:57:56.759278
756,608,574,2,4:03:54.194310
855,548,599,2,2:57:11.890215
850,639,581,1,3:10:48.832873
847,554,592,4,11:22:42.029172
811,635,592,2,5:00:00
817,592,579,1,0:03:24.627333
898,553,574,1,2:57:56.759278
878,544,596,2,5:00:00
863,635,581,1,3:01:06.646516
904,618,599,3,3:55:06.217613
871,551,589,2,7:00:00
852,512,594,1,3:00:00
925,626,587,2,7:00:00
923,584,585,1,2:00:00
977,565,579,1,3:01:06.646516
961,558,582,1,2:00:00
911,614,582,2,5:57:56.759278
970,533,598,1,1:00:00
948,565,581,2,4:01:06.646516
949,634,581,2,3:58:36.145759
991,584,581,1,1:01:06.646516
951,572,581,3,8:28:31.953821
978,516,579,1,3:01:06.646516
982,621,591,2,4:00:00
939,625,591,2,4:00:00
975,612,579,1,3:01:06.646516
981,575,581,4,2:50:25.497648
998,610,639,1,1:00:00
967,617,640,1,2:43:45.273222
915,546,596,1,2:00:00
997,615,582,2,5:00:00
914,631,598,1,1:00:00
867,511,589,1,3:00:00
950,516,581,1,3:01:06.646516
919,560,585,1,2:00:00
941,511,591,1,3:00:00
942,551,591,3,8:21:53.543827
954,598,599,2,1:57:11.915519
995,514,594,3,8:00:00
968,523,640,2,4:43:45.273222
913,622,598,3,3:57:18.243799
928,620,596,1,2:00:00
1861,581,593,1,1:00:00
971,618,598,2,1:57:18.243799
930,513,596,3,4:27:12.930475
943,557,591,2,4:00:00
945,608,582,1,2:57:56.759278
1004,519,590,2,4:00:00
933,514,587,2,6:00:00
1001,553,590,4,7:48:38.735499
927,583,598,1,1:00:00
987,563,640,1,0:27:07.449812
988,520,640,1,0:27:07.449812
1002,591,590,1,3:00:00
966,578,640,1,2:43:45.273222
932,536,598,3,3:57:18.243799
934,580,587,3,5:02:53.091720
1000,628,590,3,4:00:00
960,524,582,1,2:57:56.759278
946,527,640,1,2:43:45.273222
1869,632,594,1,2:00:00
887,529,592,2,5:07:29.338897
926,628,640,2,4:36:46.237655
964,623,582,2,1:57:56.759278
953,611,599,2,0:57:10.250772
920,534,585,2,3:00:00
986,534,589,3,5:33:58.261109
985,513,592,1,0:27:07.449812
931,596,587,3,8:00:00
921,552,585,4,9:03:24.827507
972,611,598,3,1:28:46.696682
916,546,587,2,4:00:00
956,529,640,2,3:16:37.823410
996,609,594,1,3:00:00
952,547,640,1,2:16:37.823410
1005,571,590,2,6:00:00
924,626,596,2,3:00:00
940,518,591,1,3:00:00
974,620,640,1,0:27:07.449812
999,607,590,2,5:45:45.643779
912,627,582,1,2:57:56.759278
917,610,585,1,2:00:00
922,637,585,1,2:00:00
910,632,582,2,6:57:56.759278
979,584,579,1,1:01:06.646516
937,636,598,2,1:57:13.769921
918,563,585,1,2:00:00
1859,593,581,1,1:00:00
962,606,582,2,4:57:56.759278
976,633,579,1,3:01:06.646516
909,636,599,3,3:57:11.915519
965,623,574,1,0:57:56.759278
984,566,592,1,0:27:07.449812
992,573,593,4,8:00:42.167723
929,587,596,3,8:00:00
959,577,582,1,2:57:56.759278
938,630,591,2,8:00:00
1003,542,590,1,2:00:00
1006,621,590,2,7:00:00
963,548,598,2,1:57:15.778199
969,521,598,3,2:57:18.098554
1860,616,581,1,1:13:35.936314
957,562,582,4,7:57:56.759278
944,525,591,1,3:00:00
980,600,639,1,1:43:20.479937
958,553,582,2,3:00:49.850998
955,599,598,2,1:57:11.915519
983,621,589,1,1:00:00
935,620,587,2,3:34:33.319152
1007,590,591,1,3:00:00
947,633,581,1,3:01:06.646516
989,513,640,1,0:27:07.449812
1065,636,585,2,6:04:55.192309
1083,612,589,1,1:50:41.911833
1060,529,585,1,2:11:54.227876
1100,608,586,1,0:35:40.681128
1009,607,591,1,3:00:00
1108,639,586,2,2:00:00
1095,640,585,1,3:53:00.964433
1067,561,639,2,3:00:00
1022,574,593,3,5:31:17.562299
1012,614,597,1,2:00:00
1088,632,589,1,1:50:41.911833
1104,636,586,1,0:35:40.681128
1015,633,574,1,1:00:00
1094,554,582,3,7:00:00
1031,624,599,2,4:16:58.768705
1021,622,593,1,4:54:22.471027
1050,515,599,2,3:21:53.543827
1036,606,590,3,4:58:55.227415
1074,565,575,4,7:09:38.114374
1085,550,589,1,1:50:41.911833
1090,589,582,1,1:50:41.911833
1028,593,574,3,5:31:17.562299
1073,527,575,1,4:00:00
1049,605,587,1,2:00:00
1020,583,594,3,6:56:38.364728
1030,524,599,2,4:00:00
1070,545,575,1,2:00:00
1097,523,586,1,0:35:40.681128
1053,620,581,5,7:19:23.043070
1882,571,574,1,0:02:03.316191
1109,586,639,2,2:00:00
1038,516,597,1,3:55:55.341569
1107,637,586,2,2:00:00
1096,585,640,1,3:53:00.964433
1059,538,585,1,4:04:55.192309
1066,585,586,1,0:11:54.227876
1041,629,597,1,3:55:55.341569
1023,513,593,2,6:55:40.584688
1011,553,591,2,7:00:00
1026,568,593,1,3:00:00
1042,611,597,1,3:55:55.341569
1075,559,575,3,8:22:57.875609
1044,625,579,1,4:00:00
1063,630,585,1,3:11:54.227876
1058,618,585,2,6:02:49.494403
1077,592,575,3,5:27:25.307305
1033,627,581,2,4:00:00
1046,619,586,2,2:00:00
1052,599,581,3,4:19:23.043070
1080,552,593,1,0:36:17.923574
1013,519,591,1,3:00:00
1039,520,597,4,10:58:48.433289
1076,617,575,1,3:00:00
1078,558,575,1,4:00:00
1068,561,586,2,2:00:00
1089,615,589,2,5:50:41.911833
1024,534,593,1,4:55:40.584688
1086,563,589,1,1:50:41.911833
1014,633,593,1,1:00:00
1110,513,574,2,5:55:40.584688
1079,575,592,3,5:27:25.307305
1008,629,587,1,2:00:00
1082,612,582,2,5:00:00
1056,572,639,1,4:00:00
1010,571,591,1,3:00:00
1105,548,586,2,2:00:00
1017,564,599,1,3:00:00
1019,544,599,3,3:07:39.187606
1106,532,586,2,2:00:00
1102,613,586,1,0:35:40.681128
1072,522,575,1,3:00:00
1055,581,599,3,4:19:23.043070
1870,565,594,1,4:00:00
1016,564,581,1,3:00:00
1087,582,589,1,1:50:41.911833
1091,525,582,2,5:00:00
1746,556,581,1,1:13:35.936314
1032,624,581,1,3:00:00
1051,515,581,2,3:21:53.543827
1093,634,586,5,3:18:38.064663
1081,552,574,2,3:36:17.923574
1057,572,586,2,2:00:00
1037,556,597,3,4:58:48.433289
1111,544,593,2,4:55:40.584688
1099,529,586,1,0:35:40.681128
1054,521,581,4,6:27:25.307305
1061,586,585,1,0:11:54.227876
1101,630,586,1,0:35:40.681128
1084,554,589,3,3:50:41.911833
1045,619,639,1,4:00:00
1034,627,599,1,3:00:00
1069,545,592,1,2:00:00
1881,595,574,1,1:57:56.683809
1027,584,593,2,9:55:40.584688
1029,524,581,2,6:00:00
1103,618,586,1,0:35:40.681128
1098,538,586,1,0:35:40.681128
1025,578,593,1,4:55:06.714230
1035,552,591,4,5:41:21.260154
1040,587,597,4,6:02:53.091720
1064,613,585,1,5:04:55.192309
1192,511,597,1,1:49:51.886505
1160,532,596,1,1:51:20.856193
1211,542,591,2,2:08:17.982826
1154,577,594,1,0:56:41.522071
1168,596,591,2,2:00:00
1171,611,595,1,1:55:55.341569
1139,559,581,1,1:00:00
1177,581,575,3,1:49:18.851132
1115,537,579,1,4:00:00
1184,626,599,2,1:21:53.543827
1195,605,595,2,2:55:55.341569
1144,532,639,2,8:00:00
1122,577,579,1,1:00:00
1188,521,592,3,5:18:16.822792
1126,559,592,1,4:00:00
1018,544,581,3,3:21:53.543827
1198,535,597,1,1:00:00
1136,627,592,1,1:00:00
1185,626,582,2,1:21:53.543827
1134,524,590,2,3:00:00
1149,547,594,1,3:00:00
1170,625,640,1,1:53:00.964433
1183,612,599,2,2:00:00
1137,564,590,1,1:00:00
1114,562,594,2,3:56:41.522071
1199,634,591,2,6:00:00
1145,635,639,1,0:55:11.773544
1862,513,582,2,4:00:00
1118,568,574,1,3:00:00
1092,634,639,2,4:00:00
1150,511,594,1,3:00:00
1121,518,579,1,4:00:00
1142,527,581,1,1:00:00
1155,635,595,1,0:00:40.637872
1123,583,579,1,0:56:38.364728
1165,560,596,1,1:51:20.856193
1128,565,592,4,10:00:00
1125,528,592,1,4:00:00
1172,537,595,1,1:00:00
1138,620,575,2,1:21:53.543827
1130,588,590,2,1:29:37.670723
1129,518,594,1,0:56:41.522071
1176,521,575,2,1:27:25.307305
1141,528,581,3,2:00:01.474025
1200,516,595,1,1:55:55.341569
1206,597,595,1,1:55:55.341569
1164,536,596,2,3:51:20.856193
1212,536,591,2,3:00:00
1124,551,579,1,0:56:28.037272
1208,548,591,2,4:56:21.282800
1174,514,595,1,1:49:54.473045
1112,544,574,3,4:19:37.444706
1181,583,585,1,0:31:54.900466
1173,537,597,2,4:00:00
1147,560,639,1,1:00:00
1187,550,599,3,4:17:39.183728
1175,514,597,2,2:49:54.473045
1152,635,594,2,5:00:00
1133,606,591,1,2:00:00
1167,616,596,2,2:00:00
1153,535,594,1,0:56:41.522071
1180,577,585,1,1:53:00.964433
1189,581,592,3,4:27:25.307305
1140,558,581,3,7:00:00
1205,547,595,2,2:24:50.925404
1203,556,595,2,1:55:55.341569
1191,511,595,1,1:49:51.886505
1146,536,639,1,1:00:00
1113,562,579,2,4:00:00
1117,625,594,1,0:56:41.522071
1161,634,596,4,7:10:54.049392
1179,628,585,1,1:53:00.964433
1143,548,639,1,4:00:00
1190,592,581,3,4:27:25.307305
1127,522,592,1,3:00:00
1159,548,596,1,1:51:20.856193
1210,515,590,1,0:59:57.316954
1135,627,575,2,3:00:00
1162,619,596,1,1:51:20.856193
1163,591,596,2,2:00:00
1178,616,591,2,4:56:56.114985
1201,637,591,2,4:28:10.241603
1197,535,595,1,1:00:00
1116,537,594,2,1:56:41.522071
1207,595,597,1,1:55:55.341569
1148,616,594,1,0:56:41.522071
1158,635,591,2,3:00:00
1196,608,640,1,3:53:00.964433
1131,566,595,2,2:49:44.406306
1166,572,596,1,1:51:20.856193
1182,560,591,1,1:00:00
1202,520,595,4,4:22:00.235897
1151,551,594,2,3:56:28.037272
1120,535,579,1,4:00:00
1119,616,579,1,4:00:00
1156,635,597,1,0:00:40.637872
1169,630,640,1,2:00:00
1186,550,582,5,9:20:32.275448
1204,629,595,2,2:06:06.588615
1209,515,593,2,2:29:14.246108
1304,544,575,2,0:58:55.668218
1299,537,592,1,0:27:25.307305
1222,547,581,2,2:26:19.982419
1193,619,591,1,1:00:00
1272,551,574,4,8:19:46.403402
1261,599,574,1,0:21:53.543827
1267,578,574,2,7:55:06.714230
1237,544,591,1,0:21:53.543827
1292,534,582,1,0:21:53.543827
1274,575,574,1,0:21:53.543827
1283,534,590,1,0:59:57.316954
1285,590,593,4,3:03:32.576397
1295,575,582,2,2:21:53.543827
1266,581,582,1,0:21:53.543827
1279,546,590,1,0:59:03.854889
1235,599,591,4,7:39:32.727555
1290,557,582,2,5:00:00
1293,515,582,2,4:21:53.543827
1220,536,581,2,1:24:39.180474
1260,551,599,2,1:21:53.543827
1245,608,596,1,1:00:00
1247,613,596,1,1:00:00
1223,553,575,3,4:37:03.421679
1255,554,599,2,2:00:00
1281,584,590,2,1:29:34.987677
1259,615,599,2,2:00:00
1284,513,590,3,4:59:57.316954
1269,546,574,2,2:52:55.100789
1215,606,593,1,0:58:55.227415
1228,536,575,2,2:27:25.307305
1287,611,640,1,1:00:00
1278,578,590,1,0:59:26.129542
1213,572,591,3,4:17:39.183728
1239,626,591,2,1:21:53.543827
1254,574,599,1,0:21:53.543827
1240,575,591,2,2:21:53.543827
1244,577,596,2,2:00:00
1307,613,640,1,3:53:00.964433
1275,574,590,1,0:59:57.316954
1300,636,640,1,3:53:00.964433
1297,618,640,1,3:53:00.964433
1217,583,581,2,3:27:25.307305
1252,596,640,1,1:00:00
1246,611,596,2,2:00:00
1263,599,575,1,0:21:53.543827
1308,583,592,3,4:27:25.307305
1218,537,581,1,0:27:25.307305
1238,620,591,2,5:21:53.543827
1250,640,596,1,1:00:00
1256,525,599,3,6:45:45.643779
1230,572,575,2,4:27:25.307305
1270,590,574,1,0:59:57.316954
1249,618,596,1,1:00:00
1306,548,592,1,0:27:25.307305
1310,545,574,1,3:00:00
1225,537,575,2,1:27:25.307305
1291,551,582,3,5:21:53.543827
1253,534,599,2,1:21:53.543827
1288,532,592,2,4:27:25.307305
1232,596,585,1,1:00:00
1262,599,582,4,4:39:32.727555
1258,582,599,4,4:39:32.727555
1294,544,582,1,0:21:53.543827
1236,582,591,2,2:39:32.727555
1271,620,574,3,2:23:56.860018
1301,536,592,2,3:18:16.822792
1241,591,599,4,7:39:32.727555
1242,591,582,2,2:39:32.727555
1309,546,593,1,1:54:44.439577
1234,515,591,1,0:21:53.543827
1298,551,575,2,0:31:31.658201
1216,553,581,1,0:27:25.307305
1224,583,575,2,1:04:27.431696
1264,582,581,1,0:21:53.543827
1219,548,581,2,2:27:25.307305
1282,593,590,4,3:03:32.576397
1221,532,581,1,0:27:25.307305
1251,636,596,1,1:00:00
1231,611,585,1,1:00:00
1280,544,590,3,5:45:42.960733
1277,547,597,1,1:51:51.146252
1243,591,575,2,2:21:53.543827
1226,547,575,2,2:27:25.307305
1233,585,596,1,1:00:00
1229,532,575,1,0:27:25.307305
1286,635,640,1,1:00:00
1296,582,575,2,2:21:53.543827
1227,548,575,2,3:27:25.307305
1257,563,599,1,1:00:00
