id,ballkid,year,court,count,duration
7223091,595,2024,Grandstand,2,2:00:00
7223090,595,2024,Court 5,1,1:00:00
7223089,595,2024,Harris,1,1:00:00
7223088,595,2024,Court 4,2,2:00:00
7223087,595,2024,Stadium,2,0:22:20.237508
7220497,684,2024,Grandstand,3,2:54:55.394521
7220496,684,2024,Court 5,1,"-1 day, 21:15:50.232545"
7220495,684,2024,Harris,6,5:50:32.351474
7220494,684,2024,Court 4,3,3:00:00
7220493,684,2024,Stadium,7,6:55:05.799178
7220492,678,2024,Grandstand,5,4:21:37.493591
7220491,678,2024,Court 5,1,0:38:06.198804
7220490,678,2024,Harris,5,5:00:00
7220489,678,2024,Court 4,7,7:00:00
7220488,678,2024,Stadium,8,7:40:26.012832
7220487,575,2024,Grandstand,7,6:31:39.126634
7220486,575,2024,Court 5,6,5:26:10.760840
7220485,575,2024,Harris,9,9:00:00
7220484,575,2024,Court 4,4,4:00:00
7220483,575,2024,Stadium,16,14:51:41.978636
7220482,574,2024,Grandstand,5,5:00:00
7220481,574,2024,Court 5,4,4:00:00
7220480,574,2024,Harris,8,8:00:00
7220479,574,2024,Court 4,8,6:11:24.854447
7220478,574,2024,Stadium,15,13:59:49.814975
7220477,616,2024,Grandstand,3,2:21:48.743715
7220476,616,2024,Court 5,5,5:00:00
7220475,616,2024,Harris,8,8:00:00
7220474,616,2024,Court 4,6,5:33:47.135170
7220473,616,2024,Stadium,10,8:53:03.670272
7220472,656,2024,Grandstand,7,6:27:58.229049
7220471,656,2024,Court 5,3,3:00:00
7220470,656,2024,Harris,10,10:00:00
7220469,656,2024,Court 4,5,5:00:00
7220468,656,2024,Stadium,10,9:58:43.693655
7220467,664,2024,Grandstand,9,9:00:00
7220466,664,2024,Court 5,2,2:00:00
7220465,664,2024,Harris,5,3:40:30.119446
7220464,664,2024,Court 4,6,5:52:57.444067
7220463,664,2024,Stadium,5,5:00:00
7220462,528,2024,Grandstand,7,7:00:00
7220461,528,2024,Court 5,4,2:23:37.926804
7220460,528,2024,Harris,7,6:49:12.157434
7220459,528,2024,Court 4,6,5:27:39.884344
7220458,528,2024,Stadium,14,13:48:10.016733
7220457,683,2024,Grandstand,6,5:33:09.235268
7220456,683,2024,Court 5,3,3:00:00
7220455,683,2024,Harris,6,6:00:00
7220454,683,2024,Court 4,1,0:22:30.637876
7220453,683,2024,Stadium,8,7:00:38.212883
7220452,583,2024,Grandstand,7,6:51:54.022124
7220451,583,2024,Court 5,3,3:00:00
7220450,583,2024,Harris,9,7:58:57.266760
7220449,583,2024,Court 4,5,5:00:00
7220448,583,2024,Stadium,15,14:01:08.339582
7220447,657,2024,Grandstand,4,3:33:36.962034
7220446,657,2024,Court 5,2,1:26:10.760840
7220445,657,2024,Harris,4,4:00:00
7220444,657,2024,Court 4,4,4:00:00
7220443,657,2024,Stadium,3,3:00:00
7220442,668,2024,Grandstand,4,4:00:00
7220441,668,2024,Court 5,4,4:00:00
7220440,668,2024,Harris,5,5:00:00
7220439,668,2024,Court 4,2,1:56:42.283711
7220438,668,2024,Stadium,17,16:00:06.348540
7220437,650,2024,Grandstand,5,5:00:00
7220436,650,2024,Court 5,3,3:00:00
7220435,650,2024,Harris,4,3:57:24.167910
7220434,650,2024,Court 4,2,2:00:00
7220433,650,2024,Stadium,5,4:23:05.843834
7220432,552,2024,Grandstand,6,5:17:44.195771
7220431,552,2024,Court 5,2,2:00:00
7220430,552,2024,Harris,7,6:22:23.344625
7220429,552,2024,Court 4,5,4:19:50.201196
7220428,552,2024,Stadium,15,14:36:35.538416
7220427,644,2024,Grandstand,4,2:18:33.804554
7220426,644,2024,Court 5,1,1:00:00
7220425,644,2024,Harris,4,4:00:00
7220424,644,2024,Court 4,5,5:00:00
7220423,644,2024,Stadium,6,4:37:47.953002
7220422,647,2024,Grandstand,2,1:56:54.199345
7220421,647,2024,Court 5,1,1:00:00
7220420,647,2024,Harris,2,1:02:05.945635
7220419,647,2024,Court 4,4,2:33:28.569927
7220418,647,2024,Stadium,4,3:08:56.378961
7220417,635,2024,Grandstand,8,7:50:03.264707
7220416,635,2024,Court 5,2,1:26:10.760840
7220415,635,2024,Harris,9,8:35:13.480984
7220414,635,2024,Court 4,6,6:00:00
7220413,635,2024,Stadium,19,19:00:00
7220412,623,2024,Grandstand,1,1:00:00
7220411,623,2024,Court 5,0,0:00:00
7220410,623,2024,Harris,0,0:00:00
7220409,623,2024,Court 4,3,3:00:00
7220408,623,2024,Stadium,3,3:00:00
7220407,565,2024,Grandstand,6,5:58:01.134104
7220406,565,2024,Court 5,4,"-1 day, 22:39:28.159349"
7220405,565,2024,Harris,11,5:45:43.097177
7220404,565,2024,Court 4,3,3:00:00
7220403,565,2024,Stadium,10,10:00:00
7220402,665,2024,Grandstand,4,4:00:00
7220401,665,2024,Court 5,3,3:00:00
7220400,665,2024,Harris,5,3:51:18.036440
7220399,665,2024,Court 4,4,3:45:11.588646
7220398,665,2024,Stadium,5,4:40:26.012832
7220397,680,2024,Grandstand,8,7:56:54.228708
7220396,680,2024,Court 5,4,0:15:50.232545
7220395,680,2024,Harris,8,7:13:11.570090
7220394,680,2024,Court 4,4,3:00:09.252923
7220393,680,2024,Stadium,11,10:11:06.683415
7220392,634,2024,Grandstand,7,6:31:06.850422
7220391,634,2024,Court 5,2,2:00:00
7220390,634,2024,Harris,7,6:33:16.170992
7220389,634,2024,Court 4,9,7:13:14.729056
7220388,634,2024,Stadium,7,7:00:00
7220387,661,2024,Grandstand,5,5:00:00
7220386,661,2024,Court 5,1,"-1 day, 23:48:12.274619"
7220385,661,2024,Harris,5,5:00:00
7220384,661,2024,Court 4,6,5:42:13.765803
7220383,661,2024,Stadium,9,8:32:44.543426
7220382,551,2024,Grandstand,6,6:00:00
7220381,551,2024,Court 5,5,5:00:00
7220380,551,2024,Harris,9,8:24:36.340821
7220379,551,2024,Court 4,4,4:00:00
7220378,551,2024,Stadium,15,12:23:20.375891
7220377,624,2024,Grandstand,1,1:00:00
7220376,624,2024,Court 5,2,2:00:00
7220375,624,2024,Harris,5,5:00:00
7220374,624,2024,Court 4,4,4:00:00
7220373,624,2024,Stadium,3,3:00:00
7220372,654,2024,Grandstand,7,6:30:50.606836
7220371,654,2024,Court 5,2,2:00:00
7220370,654,2024,Harris,6,5:33:16.233261
7220369,654,2024,Court 4,6,5:50:17.464940
7220368,654,2024,Stadium,8,8:00:00
7220367,672,2024,Grandstand,6,6:00:00
7220366,672,2024,Court 5,3,3:00:00
7220365,672,2024,Harris,6,5:49:12.111024
7220364,672,2024,Court 4,7,6:27:41.491189
7220363,672,2024,Stadium,8,7:48:10.040253
7220362,658,2024,Grandstand,0,0:00:00
7220361,658,2024,Court 5,0,0:00:00
7220360,658,2024,Harris,0,0:00:00
7220359,658,2024,Court 4,0,0:00:00
7220358,658,2024,Stadium,0,0:00:00
7220357,670,2024,Grandstand,6,5:42:36.094607
7220356,670,2024,Court 5,3,3:00:00
7220355,670,2024,Harris,10,9:21:49.904473
7220354,670,2024,Court 4,4,3:00:33.502674
7220353,670,2024,Stadium,13,11:50:06.879873
7220352,643,2024,Grandstand,5,4:29:03.936262
7220351,643,2024,Court 5,1,1:00:00
7220350,643,2024,Harris,6,5:02:34.267272
7220349,643,2024,Court 4,5,5:00:00
7220348,643,2024,Stadium,8,7:40:26.012832
7220347,639,2024,Grandstand,5,4:17:44.195771
7220346,639,2024,Court 5,2,2:00:00
7220345,639,2024,Harris,4,3:24:59.267232
7220344,639,2024,Court 4,3,1:13:52.613010
7220343,639,2024,Stadium,5,3:30:03.407450
7220342,523,2024,Grandstand,0,0:00:00
7220341,523,2024,Court 5,2,2:00:00
7220340,523,2024,Harris,3,3:00:00
7220339,523,2024,Court 4,3,3:00:00
7220338,523,2024,Stadium,2,2:00:00
7220337,655,2024,Grandstand,1,1:00:00
7220336,655,2024,Court 5,1,1:00:00
7220335,655,2024,Harris,3,2:24:59.207091
7220334,655,2024,Court 4,2,2:00:00
7220333,655,2024,Stadium,0,0:00:00
7220332,640,2024,Grandstand,5,4:50:03.264707
7220331,640,2024,Court 5,1,1:00:00
7220330,640,2024,Harris,6,6:00:00
7220329,640,2024,Court 4,5,4:52:57.444067
7220328,640,2024,Stadium,6,6:00:00
7220327,662,2024,Grandstand,3,3:00:00
7220326,662,2024,Court 5,3,3:00:00
7220325,662,2024,Harris,7,6:24:36.340821
7220324,662,2024,Court 4,4,4:00:00
7220323,662,2024,Stadium,6,5:09:17.586873
7220322,677,2024,Grandstand,1,0:58:01.134104
7220321,677,2024,Court 5,0,0:00:00
7220320,677,2024,Harris,2,2:00:00
7220319,677,2024,Court 4,2,2:00:00
7220318,677,2024,Stadium,1,1:00:00
7220317,562,2024,Grandstand,3,2:32:09.794317
7220316,562,2024,Court 5,4,2:48:12.274619
7220315,562,2024,Harris,5,4:25:10.667406
7220314,562,2024,Court 4,5,4:33:47.135170
7220313,562,2024,Stadium,9,9:00:00
7220312,543,2024,Grandstand,0,0:00:00
7220311,543,2024,Court 5,0,0:00:00
7220310,543,2024,Harris,0,0:00:00
7220309,543,2024,Court 4,0,0:00:00
7220308,543,2024,Stadium,0,0:00:00
7220307,666,2024,Grandstand,4,3:42:36.094607
7220306,666,2024,Court 5,3,2:26:10.760840
7220305,666,2024,Harris,4,4:00:00
7220304,666,2024,Court 4,2,2:00:00
7220303,666,2024,Stadium,3,3:00:00
7220302,532,2024,Grandstand,4,2:22:59.086436
7220301,532,2024,Court 5,3,3:00:00
7220300,532,2024,Harris,6,4:12:24.862266
7220299,532,2024,Court 4,5,5:00:00
7220298,532,2024,Stadium,6,5:27:14.059784
7220297,513,2024,Grandstand,7,6:31:55.026206
7220296,513,2024,Court 5,5,1:15:50.232545
7220295,513,2024,Harris,9,8:39:55.367652
7220294,513,2024,Court 4,4,3:11:28.147273
7220293,513,2024,Stadium,21,18:34:00.744091
7220292,673,2024,Grandstand,6,6:00:00
7220291,673,2024,Court 5,5,5:00:00
7220290,673,2024,Harris,7,7:00:00
7220289,673,2024,Court 4,7,6:01:23.648315
7220288,673,2024,Stadium,6,5:22:59.041458
7220287,529,2024,Grandstand,3,3:00:00
7220286,529,2024,Court 5,0,0:00:00
7220285,529,2024,Harris,2,1:24:36.340821
7220284,529,2024,Court 4,3,3:00:00
7220283,529,2024,Stadium,4,4:00:00
7220282,649,2024,Grandstand,5,4:35:08.101164
7220281,649,2024,Court 5,2,2:00:00
7220280,649,2024,Harris,6,3:01:18.471306
7220279,649,2024,Court 4,5,5:00:00
7220278,649,2024,Stadium,9,8:04:23.386051
7220277,572,2024,Grandstand,7,7:00:00
7220276,572,2024,Court 5,3,1:48:12.274619
7220275,572,2024,Harris,9,7:26:42.286456
7220274,572,2024,Court 4,8,6:35:20.779601
7220273,572,2024,Stadium,13,11:40:50.627146
7220272,518,2024,Grandstand,7,6:49:38.884407
7220271,518,2024,Court 5,5,5:00:00
7220270,518,2024,Harris,9,8:58:38.876088
7220269,518,2024,Court 4,6,4:21:11.325108
7220268,518,2024,Stadium,16,15:55:05.799178
7220267,537,2024,Grandstand,0,0:00:00
7220266,537,2024,Court 5,0,0:00:00
7220265,537,2024,Harris,0,0:00:00
7220264,537,2024,Court 4,0,0:00:00
7220263,537,2024,Stadium,0,0:00:00
7220262,681,2024,Grandstand,8,7:40:37.228711
7220261,681,2024,Court 5,4,4:00:00
7220260,681,2024,Harris,8,6:27:05.094361
7220259,681,2024,Court 4,5,3:45:43.347366
7220258,681,2024,Stadium,8,7:13:38.554385
7220257,511,2024,Grandstand,3,2:38:29.000456
7220256,511,2024,Court 5,3,3:00:00
7220255,511,2024,Harris,4,4:00:00
7220254,511,2024,Court 4,1,1:00:00
7220253,511,2024,Stadium,3,3:00:00
7220252,539,2024,Grandstand,0,0:00:00
7220251,539,2024,Court 5,0,0:00:00
7220250,539,2024,Harris,0,0:00:00
7220249,539,2024,Court 4,1,1:00:00
7220248,539,2024,Stadium,1,1:00:00
7220247,533,2024,Grandstand,0,0:00:00
7220246,533,2024,Court 5,0,0:00:00
7220245,533,2024,Harris,0,0:00:00
7220244,533,2024,Court 4,0,0:00:00
7220243,533,2024,Stadium,0,0:00:00
7220242,525,2024,Grandstand,6,5:20:13.101164
7220241,525,2024,Court 5,5,5:00:00
7220240,525,2024,Harris,9,7:35:22.055265
7220239,525,2024,Court 4,8,2:59:44.253948
7220238,525,2024,Stadium,17,15:36:22.287507
7220237,629,2024,Grandstand,3,2:32:09.814861
7220236,629,2024,Court 5,2,2:00:00
7220235,629,2024,Harris,5,4:50:35.900129
7220234,629,2024,Court 4,4,4:00:00
7220233,629,2024,Stadium,11,9:19:21.665291
7220232,524,2024,Grandstand,7,6:50:03.264707
7220231,524,2024,Court 5,5,3:23:37.926804
7220230,524,2024,Harris,10,5:25:52.584401
7220229,524,2024,Court 4,3,3:00:00
7220228,524,2024,Stadium,15,14:03:09.931572
7220227,663,2024,Grandstand,5,5:00:00
7220226,663,2024,Court 5,2,2:00:00
7220225,663,2024,Harris,6,5:14:11.181169
7220224,663,2024,Court 4,6,6:00:00
7220223,663,2024,Stadium,5,5:00:00
7220222,675,2024,Grandstand,5,4:56:54.057955
7220221,675,2024,Court 5,4,2:23:37.926804
7220220,675,2024,Harris,10,5:53:04.653640
7220219,675,2024,Court 4,5,5:00:00
7220218,675,2024,Stadium,6,6:00:00
7220217,614,2024,Grandstand,3,2:49:38.884407
7220216,614,2024,Court 5,4,4:00:00
7220215,614,2024,Harris,6,6:00:00
7220214,614,2024,Court 4,4,4:00:00
7220213,614,2024,Stadium,4,4:00:00
7220212,558,2024,Grandstand,4,3:50:03.264707
7220211,558,2024,Court 5,2,1:24:20.466995
7220210,558,2024,Harris,5,5:00:00
7220209,558,2024,Court 4,6,6:00:00
7220208,558,2024,Stadium,12,11:22:43.742655
7220207,669,2024,Grandstand,4,4:00:00
7220206,669,2024,Court 5,5,2:49:48.687644
7220205,669,2024,Harris,6,3:01:18.471306
7220204,669,2024,Court 4,3,1:20:17.284989
7220203,669,2024,Stadium,6,5:28:30.366129
7220202,617,2024,Grandstand,5,5:00:00
7220201,617,2024,Court 5,2,2:00:00
7220200,617,2024,Harris,6,5:02:34.179589
7220199,617,2024,Court 4,6,6:00:00
7220198,617,2024,Stadium,6,6:00:00
7220197,590,2024,Grandstand,3,2:41:31.597932
7220196,590,2024,Court 5,4,4:00:00
7220195,590,2024,Harris,8,8:00:00
7220194,590,2024,Court 4,6,4:20:17.284989
7220193,590,2024,Stadium,15,11:08:59.109330
7220192,613,2024,Grandstand,5,4:42:36.094607
7220191,613,2024,Court 5,6,5:26:10.760840
7220190,613,2024,Harris,12,10:18:09.179205
7220189,613,2024,Court 4,4,4:00:00
7220188,613,2024,Stadium,14,13:28:30.366129
7220187,514,2024,Grandstand,8,7:42:36.094607
7220186,514,2024,Court 5,4,4:00:00
7220185,514,2024,Harris,8,7:24:59.065624
7220184,514,2024,Court 4,4,4:00:00
7220183,514,2024,Stadium,12,11:12:56.657217
7220182,674,2024,Grandstand,6,5:24:46.985571
7220181,674,2024,Court 5,2,2:00:00
7220180,674,2024,Harris,6,6:00:00
7220179,674,2024,Court 4,5,5:00:00
7220178,674,2024,Stadium,12,11:16:50.155706
7220177,519,2024,Grandstand,2,2:00:00
7220176,519,2024,Court 5,1,1:00:00
7220175,519,2024,Harris,1,1:00:00
7220174,519,2024,Court 4,1,1:00:00
7220173,519,2024,Stadium,2,2:00:00
7220172,648,2024,Grandstand,5,5:00:00
7220171,648,2024,Court 5,3,1:23:37.926804
7220170,648,2024,Harris,4,1:01:18.471306
7220169,648,2024,Court 4,0,0:00:00
7220168,648,2024,Stadium,7,6:55:05.799178
7220167,620,2024,Grandstand,5,4:31:50.151772
7220166,620,2024,Court 5,5,4:26:10.760840
7220165,620,2024,Harris,11,10:59:13.546182
7220164,620,2024,Court 4,6,5:00:46.453818
7220163,620,2024,Stadium,21,19:19:55.063173
7220162,618,2024,Grandstand,4,4:00:00
7220161,618,2024,Court 5,3,3:00:00
7220160,618,2024,Harris,4,3:24:36.340821
7220159,618,2024,Court 4,0,0:00:00
7220158,618,2024,Stadium,6,6:00:00
7220157,594,2024,Grandstand,5,5:00:00
7220156,594,2024,Court 5,1,1:00:00
7220155,594,2024,Harris,2,1:24:36.340821
7220154,594,2024,Court 4,4,4:00:00
7220153,594,2024,Stadium,6,6:00:00
7220152,625,2024,Grandstand,0,0:00:00
7220151,625,2024,Court 5,0,0:00:00
7220150,625,2024,Harris,0,0:00:00
7220149,625,2024,Court 4,0,0:00:00
7220148,625,2024,Stadium,0,0:00:00
7220147,622,2024,Grandstand,6,6:00:00
7220146,622,2024,Court 5,5,3:48:12.274619
7220145,622,2024,Harris,7,5:01:18.027515
7220144,622,2024,Court 4,2,2:00:00
7220143,622,2024,Stadium,6,6:00:00
7220142,626,2024,Grandstand,8,7:27:36.509324
7220141,626,2024,Court 5,1,1:00:00
7220140,626,2024,Harris,8,8:00:00
7220139,626,2024,Court 4,9,7:13:14.729056
7220138,626,2024,Stadium,17,15:42:28.896454
7220137,651,2024,Grandstand,0,0:00:00
7220136,651,2024,Court 5,0,0:00:00
7220135,651,2024,Harris,0,0:00:00
7220134,651,2024,Court 4,0,0:00:00
7220133,651,2024,Stadium,0,0:00:00
7220132,598,2024,Grandstand,0,0:00:00
7220131,598,2024,Court 5,0,0:00:00
7220130,598,2024,Harris,0,0:00:00
7220129,598,2024,Court 4,0,0:00:00
7220128,598,2024,Stadium,0,0:00:00
7220127,536,2024,Grandstand,5,5:00:00
7220126,536,2024,Court 5,3,3:00:00
7220125,536,2024,Harris,9,8:24:36.340821
7220124,536,2024,Court 4,7,6:33:47.135170
7220123,536,2024,Stadium,22,20:22:30.242009
7220122,646,2024,Grandstand,0,0:00:00
7220121,646,2024,Court 5,0,0:00:00
7220120,646,2024,Harris,0,0:00:00
7220119,646,2024,Court 4,0,0:00:00
7220118,646,2024,Stadium,0,0:00:00
7220117,682,2024,Grandstand,7,7:00:00
7220116,682,2024,Court 5,3,"-1 day, 22:42:00.993385"
7220115,682,2024,Harris,7,6:30:04.925338
7220114,682,2024,Court 4,7,6:52:57.444067
7220113,682,2024,Stadium,6,5:55:05.799178
7220112,609,2024,Grandstand,4,4:00:00
7220111,609,2024,Court 5,0,0:00:00
7220110,609,2024,Harris,2,2:00:00
7220109,609,2024,Court 4,5,5:00:00
7220108,609,2024,Stadium,5,5:00:00
7220107,659,2024,Grandstand,3,3:00:00
7220106,659,2024,Court 5,4,4:00:00
7220105,659,2024,Harris,6,5:24:36.340821
7220104,659,2024,Court 4,4,4:00:00
7220103,659,2024,Stadium,6,5:55:05.799178
7220102,645,2024,Grandstand,0,0:00:00
7220101,645,2024,Court 5,0,0:00:00
7220100,645,2024,Harris,1,1:00:00
7220099,645,2024,Court 4,1,1:00:00
7220098,645,2024,Stadium,1,1:00:00
7220097,632,2024,Grandstand,5,5:00:00
7220096,632,2024,Court 5,0,0:00:00
7220095,632,2024,Harris,2,2:00:00
7220094,632,2024,Court 4,4,3:52:57.444067
7220093,632,2024,Stadium,2,2:00:00
7220092,580,2024,Grandstand,0,0:00:00
7220091,580,2024,Court 5,0,0:00:00
7220090,580,2024,Harris,0,0:00:00
7220089,580,2024,Court 4,0,0:00:00
7220088,580,2024,Stadium,0,0:00:00
7220087,679,2024,Grandstand,3,2:57:49.283521
7220086,679,2024,Court 5,3,3:00:00
7220085,679,2024,Harris,7,7:00:00
7220084,679,2024,Court 4,7,5:33:58.985753
7220083,679,2024,Stadium,10,8:29:03.027381
7220082,667,2024,Grandstand,2,2:00:00
7220081,667,2024,Court 5,2,2:00:00
7220080,667,2024,Harris,2,2:00:00
7220079,667,2024,Court 4,3,3:00:00
7220078,667,2024,Stadium,5,5:00:00
7220077,520,2024,Grandstand,8,7:21:48.652848
7220076,520,2024,Court 5,3,1:48:12.274619
7220075,520,2024,Harris,6,5:33:16.047783
